t,Pmeas,Vmeas
7.08,0.845,-0.197
7.092,0.708,-0.029
7.104,0.562,0.139
7.116,0.405,0.3
7.128,0.278,0.442
7.14,0.156,0.562
7.152,0.01,0.657
7.164,-0.127,0.728
7.176,-0.249,0.775
7.188,-0.356,0.799
7.2,-0.454,0.803
7.212,-0.532,0.788
7.224,-0.591,0.751
7.236,-0.625,0.695
7.248,-0.645,0.617
7.26,-0.654,0.514
7.272,-0.63,0.385
7.284,-0.571,0.234
7.296,-0.464,0.066
7.308,-0.327,-0.108
7.32,-0.146,-0.277
7.332,0.068,-0.427
7.344,0.293,-0.553
7.356,0.493,-0.653
7.368,0.645,-0.726
7.38,0.82,-0.775
7.392,0.957,-0.8
7.404,1.055,-0.803
7.416,1.128,-0.786
7.428,1.167,-0.748
7.44,1.167,-0.69
7.452,1.138,-0.609
7.464,1.074,-0.504
7.476,0.981,-0.375
7.488,0.869,-0.225
7.5,0.737,-0.062
7.512,0.591,0.108
7.524,0.439,0.27
7.536,0.298,0.416
7.548,0.2,0.541
7.56,0.044,0.641
7.572,-0.093,0.716
7.584,-0.22,0.767
7.596,-0.332,0.796
7.608,-0.43,0.804
7.62,-0.513,0.793
7.632,-0.576,0.761
7.644,-0.615,0.71
7.656,-0.645,0.636
7.668,-0.654,0.539
7.68,-0.64,0.416
7.692,-0.596,0.27
7.704,-0.493,0.106
7.716,-0.361,-0.067
7.728,-0.195,-0.238
7.74,0.005,-0.394
7.752,0.234,-0.525
7.764,0.449,-0.631
7.776,0.601,-0.711
7.788,0.781,-0.765
7.8,0.923,-0.795
7.812,1.035,-0.804
7.824,1.113,-0.793
7.836,1.162,-0.76
7.848,1.167,-0.707
7.86,1.147,-0.633
7.872,1.089,-0.535
7.884,1.011,-0.413
7.896,0.898,-0.268
7.908,0.776,-0.109
7.92,0.63,0.06
7.932,0.479,0.226
7.944,0.322,0.378
7.956,0.244,0.508
7.968,0.088,0.615
7.98,-0.054,0.697
7.992,-0.181,0.754
8.004,-0.298,0.79
8.016,-0.405,0.804
8.028,-0.493,0.798
8.04,-0.562,0.773
8.052,-0.61,0.727
8.064,-0.64,0.661
8.076,-0.659,0.571
8.088,-0.649,0.456
8.1,-0.61,0.317
8.112,-0.532,0.159
8.124,-0.41,-0.013
8.136,-0.254,-0.185
8.148,-0.059,-0.346
8.16,0.171,-0.487
8.172,0.391,-0.6
8.184,0.542,-0.688
8.196,0.728,-0.75
8.208,0.879,-0.788
8.22,1.001,-0.804
8.232,1.089,-0.798
8.244,1.147,-0.773
8.256,1.172,-0.727
8.268,1.157,-0.659
8.28,1.113,-0.569
8.292,1.035,-0.453
8.304,0.938,-0.317
8.316,0.815,-0.161
8.328,0.674,0.006
8.34,0.532,0.174
8.352,0.381,0.331
8.364,0.269,0.469
8.376,0.132,0.583
8.388,-0.01,0.672
8.4,-0.142,0.738
8.412,-0.264,0.781
8.424,-0.376,0.801
8.436,-0.464,0.802
8.448,-0.542,0.783
8.46,-0.596,0.744
8.472,-0.63,0.685
8.484,-0.649,0.603
8.496,-0.654,0.497
8.508,-0.63,0.365
8.52,-0.562,0.213
8.532,-0.454,0.043
8.544,-0.308,-0.131
8.556,-0.127,-0.295
8.568,0.093,-0.443
8.58,0.317,-0.566
8.592,0.483,-0.663
8.604,0.664,-0.733
8.616,0.83,-0.778
8.628,0.967,-0.801
8.64,1.069,-0.802
8.652,1.133,-0.783
8.664,1.167,-0.744
8.676,1.172,-0.684
8.688,1.133,-0.601
8.7,1.064,-0.495
8.712,0.972,-0.365
8.724,0.859,-0.216
8.736,0.728,-0.05
8.748,0.581,0.117
8.76,0.43,0.279
8.772,0.288,0.424
8.784,0.19,0.546
8.796,0.039,0.645
8.808,-0.098,0.718
8.82,-0.225,0.768
8.832,-0.337,0.796
8.844,-0.435,0.804
8.856,-0.518,0.792
8.868,-0.581,0.761
8.88,-0.62,0.709
8.892,-0.649,0.636
8.904,-0.659,0.539
8.916,-0.645,0.417
8.928,-0.596,0.271
8.94,-0.503,0.109
8.952,-0.366,-0.065
8.964,-0.205,-0.233
8.976,0.005,-0.388
8.988,0.229,-0.521
9,0.435,-0.628
9.012,0.591,-0.708
9.024,0.762,-0.763
9.036,0.918,-0.794
9.048,1.03,-0.804
9.06,1.108,-0.794
9.072,1.157,-0.763
9.084,1.172,-0.711
9.096,1.147,-0.638
9.108,1.099,-0.541
9.12,1.016,-0.421
9.132,0.908,-0.28
9.144,0.786,-0.12
9.156,0.645,0.049
9.168,0.493,0.213
9.18,0.337,0.365
9.192,0.249,0.498
9.204,0.093,0.606
9.216,-0.044,0.69
9.228,-0.171,0.75
9.24,-0.288,0.787
9.252,-0.391,0.803
9.264,-0.488,0.8
9.276,-0.552,0.777
9.288,-0.601,0.733
9.3,-0.635,0.67
9.312,-0.654,0.583
9.324,-0.654,0.474
9.336,-0.625,0.338
9.348,-0.547,0.18
9.36,-0.43,0.012
9.372,-0.283,-0.161
9.384,-0.088,-0.324
9.396,0.127,-0.466
9.408,0.352,-0.585
9.42,0.518,-0.675
9.432,0.693,-0.741
9.444,0.854,-0.783
9.456,0.986,-0.802
9.468,1.079,-0.801
9.48,1.143,-0.779
9.492,1.172,-0.737
9.504,1.167,-0.674
9.516,1.123,-0.589
9.528,1.055,-0.48
9.54,0.967,-0.347
9.552,0.845,-0.195
9.564,0.713,-0.03
9.576,0.566,0.138
9.588,0.415,0.297
9.6,0.288,0.439
9.612,0.166,0.559
9.624,0.024,0.654
9.636,-0.112,0.725
9.648,-0.239,0.772
9.66,-0.347,0.798
9.672,-0.444,0.804
9.684,-0.527,0.79
9.696,-0.581,0.757
9.708,-0.62,0.704
